operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",5500000,MXN,5450245.5,289775.66,,54,,101851.8519,,,,http://miguel-hidalgo-df.properati.com.mx/o3zb_venta_departamento_miguel-hidalgo_inventario-inmobiliario-4
sell,house,|Iztapalapa|Distrito Federal|México|,"19.31033,-99.068557",1512000,MXN,1498321.97,79661.96,,80,,18900,,,,http://iztapalapa.properati.com.mx/q7t0_venta_casa_iztapalapa_san-lorenzo_0_ana-leon
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.279771,-99.234597",926667,MXN,918284,48822.82,,100,,9266.67,,,,http://tlalpan.properati.com.mx/qbi4_venta_departamento_tlalpan_conkal_75_angeles-albarran
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",6410000,MXN,6352013.39,337720.36,,135,,47481.48148,,,,http://miguel-hidalgo-df.properati.com.mx/opeq_venta_departamento_miguel-hidalgo_inventario-inmobiliario-6
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1902642,-86.8198375",875000,USD,16457437.5,875000,0,263,,3326.996198,,,,http://cancun.properati.com.mx/hg4t_venta_departamento_cancun
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.432657,-99.177444",4416000,MXN,4376051.62,232663.51,,87,,50758.62069,,,,http://anzures.properati.com.mx/opct_venta_departamento_anzures_inventario-inmobiliario-6
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.367025,-99.170349",3150000,MXN,3122244.47,166001.78,,100,,31500,,,,http://benito-juarez.properati.com.mx/r3a9_venta_departamento_benito-juarez_jose-maria-rico_606_viviane-nr
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.340909,-99.22511",2086666,MXN,2067789.37,109939.09,,205,,10178.85854,,,,http://alvaro-obregon.properati.com.mx/oi7a_venta_casa_alvaro-obregon_2-cerrada-del-moral_1_fernando-vazquez_act
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.509359,-99.093272",1600000,MXN,1585525.89,84298.37,,144,,11111.11111,,,,http://gustavo-a-madero.properati.com.mx/piyr_venta_casa_gustavo-a-madero_andador-29-francisco-j-macin_21_oukia-inmobiliaria-sa-de-cv
sell,house,|Benito Juárez|Quintana Roo|México|,"21.119158,-86.84693",6500000,MXN,6441199.16,342462.14,,350,,18571.42857,,,,http://benito-juarez-quintana-roo.properati.com.mx/r7w4_venta_casa_benito-juarez_alamos_1_humberto-r
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.432901,-99.213075",4398100,MXN,4359347.04,231775.37,,304,,14467.43421,,,,http://reforma-social.properati.com.mx/r11a_venta_casa_reforma-social_av-tecamachalco_90_remate-bancario_e2b
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",1784569,MXN,1768425.2,94022.66,,57,,31308.22807,,,,http://benito-juarez.properati.com.mx/pdji_venta_departamento_benito-juarez_inventario-inmobiliario-7
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.4987828982,-87.2228193283",300000,USD,5642550,300000,1500,160,200,1875,,,,http://playa-del-carmen.properati.com.mx/esmj_venta_casa_playa-del-carmen
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3794059,-99.1591446",3272300,MXN,3243466.76,172446.86,0,83,,39425.3012,,,,http://benito-juarez.properati.com.mx/qc0v_venta_departamento_benito-juarez_grupo-jacz-s-a-de-c-v
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.36269,-99.150565",1260000,MXN,1248601.52,66384.96,,103,,12233.00971,,,,http://benito-juarez.properati.com.mx/onph_venta_departamento_benito-juarez_pirineos_142_virginia-reyes
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.0511211635,-86.7828512192",115000,USD,2162977.5,115000,49,49,2346.938776,2346.938776,,,,http://cancun.properati.com.mx/jh5k_venta_departamento_cancun
sell,house,|Cuauhtémoc|Distrito Federal|México|,"19.452952,-99.158166",4888800,MXN,4845723.38,257634.76,,530,,9224.150943,,,,http://cuauhtemoc.properati.com.mx/r9zo_venta_casa_cuauhtemoc_remates-bancarios_esv
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.342911,-99.224472",706447,MXN,700222.21,37229.03,,90,,7849.411111,,,,http://alvaro-obregon.properati.com.mx/r3ig_venta_casa_alvaro-obregon_av-desierto-de-los-leones_4855_ivonne-santillan
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.491083,-99.07564",2230000,MXN,2209826.65,117490.85,,120,,18583.33333,,,,http://san-felipe-de-jesus.properati.com.mx/lf6d_venta_casa_san-felipe-de-jesus_coyuca_139_jose-camacho
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,,1016611,USD,19120927.99,1016611,149,149,6822.892617,6822.892617,,,,http://miguel-hidalgo-df.properati.com.mx/p7p4_venta_departamento_miguel-hidalgo_ingenia-bienes-raices
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.4024128,-99.0953907",1345000,MXN,1333148.73,70880.12,56,56,1265.716429,24017.85714,,,,http://iztacalco.properati.com.mx/r6gm_venta_departamento_iztacalco_ith-inmobiliaria
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.35782,-99.149406",1295000,MXN,1283284.95,68228.99,,80,,16187.5,,,,http://benito-juarez.properati.com.mx/qvop_venta_departamento_benito-juarez_filipinas_1225_fernando-vazquez_act
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.504985,-99.208557",460000,MXN,455838.66,24235.78,,60,,7666.666667,,,,http://prados-del-rosario.properati.com.mx/qbag_venta_departamento_prados-del-rosario_hacienda-de-narvarte_161_ubaldo-velasco
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.376792,-99.153132",4900000,MXN,4855673.26,258163.77,,120,,40833.33333,,,,http://benito-juarez.properati.com.mx/mmcg_venta_departamento_benito-juarez_monte-alban_583_alesio-ricoy-berlanga
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1541659192,-86.8471578694",580000,MXN,574753.15,30558.16,0,99,,5858.585859,,,,http://cancun.properati.com.mx/hzci_venta_departamento_cancun
